movie_title,budget,gross,gross_budget_link
Confessions of a Dangerous Mind,29000000,,http://www.imdb.com/title/tt0270288/business?ref_=tt_dt_bus
Conquest of the Planet of the Apes,1700000,,http://www.imdb.com/title/tt0068408/business?ref_=tt_dt_bus
Constantine,,,http://www.imdb.com/title/tt3489184/business?ref_=tt_dt_bus
Containment,,,http://www.imdb.com/title/tt3561236/business?ref_=tt_dt_bus
Cotton Comes to Harlem,1200000,,http://www.imdb.com/title/tt0065579/business?ref_=tt_dt_bus
Counting,50000,,http://www.imdb.com/title/tt4462082/business?ref_=tt_dt_bus
Crazy Stone,3000000,,http://www.imdb.com/title/tt0843270/business?ref_=tt_dt_bus
Creature,,,http://www.imdb.com/title/tt0156205/business?ref_=tt_dt_bus
Creepshow,8000000,,http://www.imdb.com/title/tt0083767/business?ref_=tt_dt_bus
Cries & Whispers,400000,,http://www.imdb.com/title/tt0069467/business?ref_=tt_dt_bus
Criminal Activities,7000000,,http://www.imdb.com/title/tt3687310/business?ref_=tt_dt_bus
Crop Circles: Quest for Truth,750000,,http://www.imdb.com/title/tt0331225/business?ref_=tt_dt_bus
Crowsnest,1200000,,http://www.imdb.com/title/tt2180333/business?ref_=tt_dt_bus
Crying with Laughter,,,http://www.imdb.com/title/tt1349478/business?ref_=tt_dt_bus
Cypher,7500000,,http://www.imdb.com/title/tt0284978/business?ref_=tt_dt_bus
Da Sweet Blood of Jesus,1420000,,http://www.imdb.com/title/tt3104930/business?ref_=tt_dt_bus
Damnation Alley,17000000,,http://www.imdb.com/title/tt0075909/business?ref_=tt_dt_bus
Dancin' It's On,12000000,,http://www.imdb.com/title/tt2598580/business?ref_=tt_dt_bus
Daredevil,,,http://www.imdb.com/title/tt3322312/business?ref_=tt_dt_bus
Dark Angel,,,http://www.imdb.com/title/tt0204993/business?ref_=tt_dt_bus
Dawn of the Crescent Moon,75000,,http://www.imdb.com/title/tt3157318/business?ref_=tt_dt_bus
Dawn Patrol,3500000,,http://www.imdb.com/title/tt2073661/business?ref_=tt_dt_bus
Day of the Dead,3500000,,http://www.imdb.com/title/tt0088993/business?ref_=tt_dt_bus
Day One,3400000,,http://www.imdb.com/title/tt1850418/business?ref_=tt_dt_bus
Days of Heaven,3000000,,http://www.imdb.com/title/tt0077405/business?ref_=tt_dt_bus
Dead Like Me: Life After Death,5000000,,http://www.imdb.com/title/tt1079444/business?ref_=tt_dt_bus
Deadline - U.S.A.,,,http://www.imdb.com/title/tt0044533/business?ref_=tt_dt_bus
Deadline Gallipoli,15000000,,http://www.imdb.com/title/tt3458030/business?ref_=tt_dt_bus
Death Calls,290000,,http://www.imdb.com/title/tt1328873/business?ref_=tt_dt_bus
Death Race 2000,300000,,http://www.imdb.com/title/tt0072856/business?ref_=tt_dt_bus
